PA,SZ,AG,Population,Year
Ulu Pandan,Ulu Pandan,55_to_59,830.0,2018
Ulu Pandan,Ulu Pandan,60_to_64,740.0,2018
Ulu Pandan,Ulu Pandan,65_to_69,710.0,2018
Ulu Pandan,Ulu Pandan,70_to_74,660.0,2018
Ulu Pandan,Ulu Pandan,75_to_79,310.0,2018
Ulu Pandan,Ulu Pandan,80_to_84,230.0,2018
Ulu Pandan,Ulu Pandan,85_and_over,190.0,2018
Central Water Catchment,Central Water Catchment,0_to_4,0.0,2018
Central Water Catchment,Central Water Catchment,5_to_9,0.0,2018
Central Water Catchment,Central Water Catchment,10_to_14,0.0,2018
Central Water Catchment,Central Water Catchment,15_to_19,0.0,2018
Central Water Catchment,Central Water Catchment,20_to_24,0.0,2018
Central Water Catchment,Central Water Catchment,25_to_29,0.0,2018
Central Water Catchment,Central Water Catchment,30_to_34,0.0,2018
Central Water Catchment,Central Water Catchment,35_to_39,0.0,2018
Central Water Catchment,Central Water Catchment,40_to_44,0.0,2018
Central Water Catchment,Central Water Catchment,45_to_49,0.0,2018
Central Water Catchment,Central Water Catchment,50_to_54,0.0,2018
Central Water Catchment,Central Water Catchment,55_to_59,0.0,2018
Central Water Catchment,Central Water Catchment,60_to_64,0.0,2018
Central Water Catchment,Central Water Catchment,65_to_69,0.0,2018
Central Water Catchment,Central Water Catchment,70_to_74,0.0,2018
Central Water Catchment,Central Water Catchment,75_to_79,0.0,2018
Central Water Catchment,Central Water Catchment,80_to_84,0.0,2018
Central Water Catchment,Central Water Catchment,85_and_over,0.0,2018
Changi- Total,Changi- Total,0_to_4,130.0,2018
Changi- Total,Changi- Total,5_to_9,140.0,2018
Changi- Total,Changi- Total,10_to_14,150.0,2018
Changi- Total,Changi- Total,15_to_19,110.0,2018
Changi- Total,Changi- Total,20_to_24,100.0,2018
Changi- Total,Changi- Total,25_to_29,90.0,2018
Changi- Total,Changi- Total,30_to_34,140.0,2018
Changi- Total,Changi- Total,35_to_39,150.0,2018
Changi- Total,Changi- Total,40_to_44,170.0,2018
Changi- Total,Changi- Total,45_to_49,160.0,2018
Changi- Total,Changi- Total,50_to_54,130.0,2018
Changi- Total,Changi- Total,55_to_59,100.0,2018
Changi- Total,Changi- Total,60_to_64,100.0,2018
Changi- Total,Changi- Total,65_to_69,70.0,2018
Changi- Total,Changi- Total,70_to_74,60.0,2018
Changi- Total,Changi- Total,75_to_79,20.0,2018
Changi- Total,Changi- Total,80_to_84,20.0,2018
Changi- Total,Changi- Total,85_and_over,20.0,2018
Changi Airport,Changi Airport,0_to_4,0.0,2018
Changi Airport,Changi Airport,5_to_9,0.0,2018
Changi Airport,Changi Airport,10_to_14,0.0,2018
Changi Airport,Changi Airport,15_to_19,0.0,2018
Changi Airport,Changi Airport,20_to_24,0.0,2018
Changi Airport,Changi Airport,25_to_29,0.0,2018
Changi Airport,Changi Airport,30_to_34,0.0,2018
Changi Airport,Changi Airport,35_to_39,0.0,2018
Changi Airport,Changi Airport,40_to_44,0.0,2018
Changi Airport,Changi Airport,45_to_49,0.0,2018
Changi Airport,Changi Airport,50_to_54,0.0,2018
Changi Airport,Changi Airport,55_to_59,0.0,2018
Changi Airport,Changi Airport,60_to_64,0.0,2018
Changi Airport,Changi Airport,65_to_69,0.0,2018
Changi Airport,Changi Airport,70_to_74,0.0,2018
Changi Airport,Changi Airport,75_to_79,0.0,2018
Changi Airport,Changi Airport,80_to_84,0.0,2018
Changi Airport,Changi Airport,85_and_over,0.0,2018
Changi Point,Changi Point,0_to_4,10.0,2018
Changi Point,Changi Point,5_to_9,10.0,2018
Changi Point,Changi Point,10_to_14,20.0,2018
Changi Point,Changi Point,15_to_19,20.0,2018
Changi Point,Changi Point,20_to_24,40.0,2018
Changi Point,Changi Point,25_to_29,30.0,2018
Changi Point,Changi Point,30_to_34,20.0,2018
Changi Point,Changi Point,35_to_39,20.0,2018
Changi Point,Changi Point,40_to_44,30.0,2018
Changi Point,Changi Point,45_to_49,50.0,2018
Changi Point,Changi Point,50_to_54,60.0,2018
Changi Point,Changi Point,55_to_59,60.0,2018
Changi Point,Changi Point,60_to_64,60.0,2018
Changi Point,Changi Point,65_to_69,50.0,2018
Changi Point,Changi Point,70_to_74,30.0,2018
Changi Point,Changi Point,75_to_79,20.0,2018
Changi Point,Changi Point,80_to_84,10.0,2018
Changi Point,Changi Point,85_and_over,10.0,2018
Changi West,Changi West,0_to_4,120.0,2018
Changi West,Changi West,5_to_9,130.0,2018
Changi West,Changi West,10_to_14,130.0,2018
Changi West,Changi West,15_to_19,80.0,2018
Changi West,Changi West,20_to_24,60.0,2018
Changi West,Changi West,25_to_29,70.0,2018
Changi West,Changi West,30_to_34,120.0,2018
Changi West,Changi West,35_to_39,130.0,2018
Changi West,Changi West,40_to_44,140.0,2018
Changi West,Changi West,45_to_49,120.0,2018
Changi West,Changi West,50_to_54,80.0,2018
Changi West,Changi West,55_to_59,40.0,2018
Changi West,Changi West,60_to_64,40.0,2018
Changi West,Changi West,65_to_69,20.0,2018
Changi West,Changi West,70_to_74,20.0,2018
Changi West,Changi West,75_to_79,10.0,2018
Changi West,Changi West,80_to_84,0.0,2018
Changi West,Changi West,85_and_over,10.0,2018
Changi Bay,Changi Bay,0_to_4,0.0,2018
Changi Bay,Changi Bay,5_to_9,0.0,2018
Changi Bay,Changi Bay,10_to_14,0.0,2018
Changi Bay,Changi Bay,15_to_19,0.0,2018
Changi Bay,Changi Bay,20_to_24,0.0,2018
Changi Bay,Changi Bay,25_to_29,0.0,2018
Changi Bay,Changi Bay,30_to_34,0.0,2018
Changi Bay,Changi Bay,35_to_39,0.0,2018
Changi Bay,Changi Bay,40_to_44,0.0,2018
Changi Bay,Changi Bay,45_to_49,0.0,2018
Changi Bay,Changi Bay,50_to_54,0.0,2018
Changi Bay,Changi Bay,55_to_59,0.0,2018
Changi Bay,Changi Bay,60_to_64,0.0,2018
Changi Bay,Changi Bay,65_to_69,0.0,2018
Changi Bay,Changi Bay,70_to_74,0.0,2018
Changi Bay,Changi Bay,75_to_79,0.0,2018
Changi Bay,Changi Bay,80_to_84,0.0,2018
Changi Bay,Changi Bay,85_and_over,0.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,0_to_4,820.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,5_to_9,1090.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,10_to_14,1330.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,15_to_19,1430.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,20_to_24,1790.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,25_to_29,1950.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,30_to_34,1360.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,35_to_39,1470.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,40_to_44,1650.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,45_to_49,1810.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,50_to_54,1970.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,55_to_59,1990.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,60_to_64,1490.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,65_to_69,1000.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,70_to_74,650.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,75_to_79,340.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,80_to_84,220.0,2018
Choa Chu Kang Central,Choa Chu Kang Central,85_and_over,180.0,2018
Choa Chu Kang North,Choa Chu Kang North,0_to_4,850.0,2018
Choa Chu Kang North,Choa Chu Kang North,5_to_9,1120.0,2018
Choa Chu Kang North,Choa Chu Kang North,10_to_14,1640.0,2018
Choa Chu Kang North,Choa Chu Kang North,15_to_19,2400.0,2018
Choa Chu Kang North,Choa Chu Kang North,20_to_24,3510.0,2018
Choa Chu Kang North,Choa Chu Kang North,25_to_29,3060.0,2018
Choa Chu Kang North,Choa Chu Kang North,30_to_34,1660.0,2018
Choa Chu Kang North,Choa Chu Kang North,35_to_39,1570.0,2018
Choa Chu Kang North,Choa Chu Kang North,40_to_44,1640.0,2018
Choa Chu Kang North,Choa Chu Kang North,45_to_49,2280.0,2018
Choa Chu Kang North,Choa Chu Kang North,50_to_54,3400.0,2018
Choa Chu Kang North,Choa Chu Kang North,55_to_59,3230.0,2018
Choa Chu Kang North,Choa Chu Kang North,60_to_64,2270.0,2018
Choa Chu Kang North,Choa Chu Kang North,65_to_69,1410.0,2018
Choa Chu Kang North,Choa Chu Kang North,70_to_74,850.0,2018
Choa Chu Kang North,Choa Chu Kang North,75_to_79,430.0,2018
Choa Chu Kang North,Choa Chu Kang North,80_to_84,330.0,2018
Choa Chu Kang North,Choa Chu Kang North,85_and_over,300.0,2018
Keat Hong,Keat Hong,0_to_4,3540.0,2018
Keat Hong,Keat Hong,5_to_9,2660.0,2018
Keat Hong,Keat Hong,10_to_14,2060.0,2018
Keat Hong,Keat Hong,15_to_19,2060.0,2018
Keat Hong,Keat Hong,20_to_24,2310.0,2018
Keat Hong,Keat Hong,25_to_29,3260.0,2018
Keat Hong,Keat Hong,30_to_34,4690.0,2018
Keat Hong,Keat Hong,35_to_39,3480.0,2018
Keat Hong,Keat Hong,40_to_44,2650.0,2018
Keat Hong,Keat Hong,45_to_49,2430.0,2018
Keat Hong,Keat Hong,50_to_54,2430.0,2018
Keat Hong,Keat Hong,55_to_59,2280.0,2018
Keat Hong,Keat Hong,60_to_64,1730.0,2018
Keat Hong,Keat Hong,65_to_69,1120.0,2018
Keat Hong,Keat Hong,70_to_74,700.0,2018
Keat Hong,Keat Hong,75_to_79,330.0,2018
Keat Hong,Keat Hong,80_to_84,240.0,2018
Keat Hong,Keat Hong,85_and_over,210.0,2018
Peng Siang,Peng Siang,0_to_4,1660.0,2018
Peng Siang,Peng Siang,5_to_9,1750.0,2018
Peng Siang,Peng Siang,10_to_14,1760.0,2018
Peng Siang,Peng Siang,15_to_19,2040.0,2018
Peng Siang,Peng Siang,20_to_24,2570.0,2018
Peng Siang,Peng Siang,25_to_29,2980.0,2018
Peng Siang,Peng Siang,30_to_34,2750.0,2018
Peng Siang,Peng Siang,35_to_39,2650.0,2018
Peng Siang,Peng Siang,40_to_44,2300.0,2018
Peng Siang,Peng Siang,45_to_49,2430.0,2018
Peng Siang,Peng Siang,50_to_54,2670.0,2018
Peng Siang,Peng Siang,55_to_59,2880.0,2018
Peng Siang,Peng Siang,60_to_64,2360.0,2018
Peng Siang,Peng Siang,65_to_69,1730.0,2018
Peng Siang,Peng Siang,70_to_74,1130.0,2018
Peng Siang,Peng Siang,75_to_79,450.0,2018
Peng Siang,Peng Siang,80_to_84,310.0,2018
Peng Siang,Peng Siang,85_and_over,310.0,2018
Teck Whye,Teck Whye,0_to_4,760.0,2018
Teck Whye,Teck Whye,5_to_9,760.0,2018
Teck Whye,Teck Whye,10_to_14,1010.0,2018
Teck Whye,Teck Whye,15_to_19,1350.0,2018
Teck Whye,Teck Whye,20_to_24,1910.0,2018
Teck Whye,Teck Whye,25_to_29,2310.0,2018
Teck Whye,Teck Whye,30_to_34,1600.0,2018
Teck Whye,Teck Whye,35_to_39,1370.0,2018
Teck Whye,Teck Whye,40_to_44,1260.0,2018
Teck Whye,Teck Whye,45_to_49,1640.0,2018
Teck Whye,Teck Whye,50_to_54,1910.0,2018
Teck Whye,Teck Whye,55_to_59,2440.0,2018
Teck Whye,Teck Whye,60_to_64,2070.0,2018
Teck Whye,Teck Whye,65_to_69,1570.0,2018
Teck Whye,Teck Whye,70_to_74,1040.0,2018
Teck Whye,Teck Whye,75_to_79,620.0,2018
Teck Whye,Teck Whye,80_to_84,400.0,2018
Teck Whye,Teck Whye,85_and_over,310.0,2018
Yew Tee,Yew Tee,0_to_4,1360.0,2018
Yew Tee,Yew Tee,5_to_9,1890.0,2018
Yew Tee,Yew Tee,10_to_14,2400.0,2018
Yew Tee,Yew Tee,15_to_19,2810.0,2018
Yew Tee,Yew Tee,20_to_24,3370.0,2018
Yew Tee,Yew Tee,25_to_29,3060.0,2018
Yew Tee,Yew Tee,30_to_34,2390.0,2018
Yew Tee,Yew Tee,35_to_39,2660.0,2018
Yew Tee,Yew Tee,40_to_44,3140.0,2018
Yew Tee,Yew Tee,45_to_49,3560.0,2018
Yew Tee,Yew Tee,50_to_54,3700.0,2018
Yew Tee,Yew Tee,55_to_59,3330.0,2018
Yew Tee,Yew Tee,60_to_64,2840.0,2018
Yew Tee,Yew Tee,65_to_69,1760.0,2018
Yew Tee,Yew Tee,70_to_74,1010.0,2018
Yew Tee,Yew Tee,75_to_79,510.0,2018
Yew Tee,Yew Tee,80_to_84,350.0,2018
Yew Tee,Yew Tee,85_and_over,260.0,2018
Clementi Central,Clementi Central,0_to_4,480.0,2018
Clementi Central,Clementi Central,5_to_9,610.0,2018
Clementi Central,Clementi Central,10_to_14,700.0,2018
Clementi Central,Clementi Central,15_to_19,660.0,2018
Clementi Central,Clementi Central,20_to_24,710.0,2018
Clementi Central,Clementi Central,25_to_29,880.0,2018
Clementi Central,Clementi Central,30_to_34,830.0,2018
Clementi Central,Clementi Central,35_to_39,910.0,2018
Clementi Central,Clementi Central,40_to_44,1050.0,2018
Clementi Central,Clementi Central,45_to_49,1170.0,2018
Clementi Central,Clementi Central,50_to_54,970.0,2018
Clementi Central,Clementi Central,55_to_59,990.0,2018
Clementi Central,Clementi Central,60_to_64,990.0,2018
Clementi Central,Clementi Central,65_to_69,1000.0,2018
Clementi Central,Clementi Central,70_to_74,910.0,2018
Clementi Central,Clementi Central,75_to_79,510.0,2018
Clementi Central,Clementi Central,80_to_84,340.0,2018
Clementi Central,Clementi Central,85_and_over,300.0,2018
Clementi North,Clementi North,0_to_4,1390.0,2018
Clementi North,Clementi North,5_to_9,1220.0,2018
Clementi North,Clementi North,10_to_14,1160.0,2018
Clementi North,Clementi North,15_to_19,1130.0,2018
Clementi North,Clementi North,20_to_24,1290.0,2018
Clementi North,Clementi North,25_to_29,1540.0,2018
Clementi North,Clementi North,30_to_34,2190.0,2018
Clementi North,Clementi North,35_to_39,2350.0,2018
Clementi North,Clementi North,40_to_44,2210.0,2018
Clementi North,Clementi North,45_to_49,2160.0,2018
Clementi North,Clementi North,50_to_54,1880.0,2018
Clementi North,Clementi North,55_to_59,1980.0,2018
Clementi North,Clementi North,60_to_64,1840.0,2018
Clementi North,Clementi North,65_to_69,2040.0,2018
Clementi North,Clementi North,70_to_74,1970.0,2018
Clementi North,Clementi North,75_to_79,1030.0,2018
Clementi North,Clementi North,80_to_84,820.0,2018
Clementi North,Clementi North,85_and_over,620.0,2018
Clementi West,Clementi West,0_to_4,480.0,2018
Clementi West,Clementi West,5_to_9,630.0,2018
Clementi West,Clementi West,10_to_14,740.0,2018
Clementi West,Clementi West,15_to_19,760.0,2018
Clementi West,Clementi West,20_to_24,840.0,2018
Clementi West,Clementi West,25_to_29,810.0,2018
Clementi West,Clementi West,30_to_34,820.0,2018
Clementi West,Clementi West,35_to_39,1010.0,2018
Clementi West,Clementi West,40_to_44,1230.0,2018
Clementi West,Clementi West,45_to_49,1270.0,2018
Clementi West,Clementi West,50_to_54,1210.0,2018
Clementi West,Clementi West,55_to_59,1150.0,2018
Clementi West,Clementi West,60_to_64,1210.0,2018
Clementi West,Clementi West,65_to_69,1170.0,2018
Clementi West,Clementi West,70_to_74,960.0,2018
Clementi West,Clementi West,75_to_79,470.0,2018
Clementi West,Clementi West,80_to_84,310.0,2018
Clementi West,Clementi West,85_and_over,210.0,2018
Clementi Woods,Clementi Woods,0_to_4,680.0,2018
Clementi Woods,Clementi Woods,5_to_9,740.0,2018
Clementi Woods,Clementi Woods,10_to_14,800.0,2018
Clementi Woods,Clementi Woods,15_to_19,810.0,2018
Clementi Woods,Clementi Woods,20_to_24,830.0,2018
Clementi Woods,Clementi Woods,25_to_29,870.0,2018
Clementi Woods,Clementi Woods,30_to_34,1060.0,2018
Clementi Woods,Clementi Woods,35_to_39,1250.0,2018
Clementi Woods,Clementi Woods,40_to_44,1190.0,2018
Clementi Woods,Clementi Woods,45_to_49,1200.0,2018
Clementi Woods,Clementi Woods,50_to_54,1110.0,2018
Clementi Woods,Clementi Woods,55_to_59,1180.0,2018
Clementi Woods,Clementi Woods,60_to_64,1060.0,2018
Clementi Woods,Clementi Woods,65_to_69,1060.0,2018
Clementi Woods,Clementi Woods,70_to_74,1000.0,2018
Clementi Woods,Clementi Woods,75_to_79,530.0,2018
Clementi Woods,Clementi Woods,80_to_84,380.0,2018
Clementi Woods,Clementi Woods,85_and_over,260.0,2018
Faber,Faber,0_to_4,270.0,2018
Faber,Faber,5_to_9,430.0,2018
Faber,Faber,10_to_14,440.0,2018
Faber,Faber,15_to_19,320.0,2018
Faber,Faber,20_to_24,280.0,2018
Faber,Faber,25_to_29,290.0,2018
Faber,Faber,30_to_34,370.0,2018
Faber,Faber,35_to_39,470.0,2018
Faber,Faber,40_to_44,540.0,2018
Faber,Faber,45_to_49,500.0,2018
Faber,Faber,50_to_54,360.0,2018
Faber,Faber,55_to_59,290.0,2018
Faber,Faber,60_to_64,220.0,2018
Faber,Faber,65_to_69,220.0,2018
Faber,Faber,70_to_74,160.0,2018
Faber,Faber,75_to_79,110.0,2018
Faber,Faber,80_to_84,60.0,2018
Faber,Faber,85_and_over,60.0,2018
Pandan,Pandan,0_to_4,0.0,2018
Pandan,Pandan,5_to_9,0.0,2018
Pandan,Pandan,10_to_14,0.0,2018
Pandan,Pandan,15_to_19,0.0,2018
Pandan,Pandan,20_to_24,0.0,2018
Pandan,Pandan,25_to_29,0.0,2018
Pandan,Pandan,30_to_34,0.0,2018
Pandan,Pandan,35_to_39,0.0,2018
Pandan,Pandan,40_to_44,0.0,2018
Pandan,Pandan,45_to_49,0.0,2018
Pandan,Pandan,50_to_54,0.0,2018
Pandan,Pandan,55_to_59,0.0,2018
Pandan,Pandan,60_to_64,0.0,2018
Pandan,Pandan,65_to_69,0.0,2018
Pandan,Pandan,70_to_74,0.0,2018
Pandan,Pandan,75_to_79,0.0,2018
Pandan,Pandan,80_to_84,0.0,2018
Pandan,Pandan,85_and_over,0.0,2018
Sunset Way,Sunset Way,0_to_4,170.0,2018
Sunset Way,Sunset Way,5_to_9,230.0,2018
Sunset Way,Sunset Way,10_to_14,270.0,2018
Sunset Way,Sunset Way,15_to_19,310.0,2018
Sunset Way,Sunset Way,20_to_24,320.0,2018
Sunset Way,Sunset Way,25_to_29,360.0,2018
Sunset Way,Sunset Way,30_to_34,330.0,2018
Sunset Way,Sunset Way,35_to_39,320.0,2018
Sunset Way,Sunset Way,40_to_44,370.0,2018
Sunset Way,Sunset Way,45_to_49,400.0,2018
Sunset Way,Sunset Way,50_to_54,440.0,2018
Sunset Way,Sunset Way,55_to_59,420.0,2018
Sunset Way,Sunset Way,60_to_64,430.0,2018
Sunset Way,Sunset Way,65_to_69,470.0,2018
Sunset Way,Sunset Way,70_to_74,380.0,2018
Sunset Way,Sunset Way,75_to_79,200.0,2018
Sunset Way,Sunset Way,80_to_84,150.0,2018
Sunset Way,Sunset Way,85_and_over,100.0,2018
Toh Tuck,Toh Tuck,0_to_4,0.0,2018
Toh Tuck,Toh Tuck,5_to_9,0.0,2018
Toh Tuck,Toh Tuck,10_to_14,0.0,2018
Toh Tuck,Toh Tuck,15_to_19,0.0,2018
Toh Tuck,Toh Tuck,20_to_24,0.0,2018
Toh Tuck,Toh Tuck,25_to_29,0.0,2018
Toh Tuck,Toh Tuck,30_to_34,0.0,2018
Toh Tuck,Toh Tuck,35_to_39,0.0,2018
Toh Tuck,Toh Tuck,40_to_44,0.0,2018
Toh Tuck,Toh Tuck,45_to_49,0.0,2018
Toh Tuck,Toh Tuck,50_to_54,0.0,2018
Toh Tuck,Toh Tuck,55_to_59,0.0,2018
Toh Tuck,Toh Tuck,60_to_64,0.0,2018
Toh Tuck,Toh Tuck,65_to_69,0.0,2018
Toh Tuck,Toh Tuck,70_to_74,0.0,2018
Toh Tuck,Toh Tuck,75_to_79,0.0,2018
Toh Tuck,Toh Tuck,80_to_84,0.0,2018
Toh Tuck,Toh Tuck,85_and_over,0.0,2018
West Coast,West Coast,0_to_4,290.0,2018
West Coast,West Coast,5_to_9,480.0,2018
West Coast,West Coast,10_to_14,550.0,2018
West Coast,West Coast,15_to_19,470.0,2018
West Coast,West Coast,20_to_24,390.0,2018
West Coast,West Coast,25_to_29,370.0,2018
West Coast,West Coast,30_to_34,320.0,2018
West Coast,West Coast,35_to_39,480.0,2018
West Coast,West Coast,40_to_44,660.0,2018
West Coast,West Coast,45_to_49,720.0,2018
West Coast,West Coast,50_to_54,550.0,2018
West Coast,West Coast,55_to_59,400.0,2018
West Coast,West Coast,60_to_64,340.0,2018
West Coast,West Coast,65_to_69,310.0,2018
West Coast,West Coast,70_to_74,290.0,2018
West Coast,West Coast,75_to_79,130.0,2018
West Coast,West Coast,80_to_84,90.0,2018
West Coast,West Coast,85_and_over,60.0,2018
Anson,Anson,0_to_4,0.0,2018
Anson,Anson,5_to_9,0.0,2018
Anson,Anson,10_to_14,0.0,2018
Anson,Anson,15_to_19,0.0,2018
Anson,Anson,20_to_24,0.0,2018
Anson,Anson,25_to_29,0.0,2018
Anson,Anson,30_to_34,0.0,2018
Anson,Anson,35_to_39,0.0,2018
Anson,Anson,40_to_44,0.0,2018
Anson,Anson,45_to_49,0.0,2018
Anson,Anson,50_to_54,0.0,2018
Anson,Anson,55_to_59,0.0,2018
Anson,Anson,60_to_64,0.0,2018
Anson,Anson,65_to_69,0.0,2018
Anson,Anson,70_to_74,0.0,2018
Anson,Anson,75_to_79,0.0,2018
Anson,Anson,80_to_84,0.0,2018
Anson,Anson,85_and_over,0.0,2018
Bayfront Subzone,Bayfront Subzone,0_to_4,0.0,2018
Bayfront Subzone,Bayfront Subzone,5_to_9,0.0,2018
Bayfront Subzone,Bayfront Subzone,10_to_14,0.0,2018
Bayfront Subzone,Bayfront Subzone,15_to_19,0.0,2018
Bayfront Subzone,Bayfront Subzone,20_to_24,0.0,2018
Bayfront Subzone,Bayfront Subzone,25_to_29,0.0,2018
Bayfront Subzone,Bayfront Subzone,30_to_34,0.0,2018
Bayfront Subzone,Bayfront Subzone,35_to_39,0.0,2018
Bayfront Subzone,Bayfront Subzone,40_to_44,0.0,2018
Bayfront Subzone,Bayfront Subzone,45_to_49,0.0,2018
Bayfront Subzone,Bayfront Subzone,50_to_54,0.0,2018
Bayfront Subzone,Bayfront Subzone,55_to_59,0.0,2018
Bayfront Subzone,Bayfront Subzone,60_to_64,0.0,2018
Bayfront Subzone,Bayfront Subzone,65_to_69,0.0,2018
Bayfront Subzone,Bayfront Subzone,70_to_74,0.0,2018
Bayfront Subzone,Bayfront Subzone,75_to_79,0.0,2018
Bayfront Subzone,Bayfront Subzone,80_to_84,0.0,2018
Bayfront Subzone,Bayfront Subzone,85_and_over,0.0,2018
Bugis,Bugis,0_to_4,20.0,2018
Bugis,Bugis,5_to_9,30.0,2018
Bugis,Bugis,10_to_14,10.0,2018
Bugis,Bugis,15_to_19,30.0,2018
Bugis,Bugis,20_to_24,40.0,2018
Bugis,Bugis,25_to_29,60.0,2018
Bugis,Bugis,30_to_34,60.0,2018
Bugis,Bugis,35_to_39,90.0,2018
Bugis,Bugis,40_to_44,70.0,2018
Bugis,Bugis,45_to_49,70.0,2018
Bugis,Bugis,50_to_54,70.0,2018
Bugis,Bugis,55_to_59,60.0,2018
Bugis,Bugis,60_to_64,60.0,2018
Bugis,Bugis,65_to_69,70.0,2018
Bugis,Bugis,70_to_74,70.0,2018
Bugis,Bugis,75_to_79,30.0,2018
Bugis,Bugis,80_to_84,30.0,2018
Bugis,Bugis,85_and_over,30.0,2018
Cecil,Cecil,0_to_4,10.0,2018
Cecil,Cecil,5_to_9,10.0,2018
Cecil,Cecil,10_to_14,10.0,2018
Cecil,Cecil,15_to_19,0.0,2018
Cecil,Cecil,20_to_24,10.0,2018
Cecil,Cecil,25_to_29,20.0,2018
Cecil,Cecil,30_to_34,40.0,2018
Cecil,Cecil,35_to_39,60.0,2018
Cecil,Cecil,40_to_44,30.0,2018
Cecil,Cecil,45_to_49,20.0,2018
Cecil,Cecil,50_to_54,20.0,2018
Cecil,Cecil,55_to_59,10.0,2018
Cecil,Cecil,60_to_64,10.0,2018
Cecil,Cecil,65_to_69,10.0,2018
Cecil,Cecil,70_to_74,0.0,2018
Cecil,Cecil,75_to_79,0.0,2018
Cecil,Cecil,80_to_84,0.0,2018
Cecil,Cecil,85_and_over,0.0,2018
Central Subzone,Central Subzone,0_to_4,40.0,2018
Central Subzone,Central Subzone,5_to_9,40.0,2018
Central Subzone,Central Subzone,10_to_14,30.0,2018
Central Subzone,Central Subzone,15_to_19,40.0,2018
Central Subzone,Central Subzone,20_to_24,20.0,2018
Central Subzone,Central Subzone,25_to_29,70.0,2018
Central Subzone,Central Subzone,30_to_34,90.0,2018
Central Subzone,Central Subzone,35_to_39,110.0,2018
Central Subzone,Central Subzone,40_to_44,110.0,2018
Central Subzone,Central Subzone,45_to_49,130.0,2018
Central Subzone,Central Subzone,50_to_54,70.0,2018
Central Subzone,Central Subzone,55_to_59,60.0,2018
Central Subzone,Central Subzone,60_to_64,40.0,2018
Central Subzone,Central Subzone,65_to_69,30.0,2018
Central Subzone,Central Subzone,70_to_74,20.0,2018
Central Subzone,Central Subzone,75_to_79,10.0,2018
Central Subzone,Central Subzone,80_to_84,0.0,2018
Central Subzone,Central Subzone,85_and_over,0.0,2018
City Hall,City Hall,0_to_4,0.0,2018
City Hall,City Hall,5_to_9,0.0,2018
City Hall,City Hall,10_to_14,0.0,2018
City Hall,City Hall,15_to_19,0.0,2018
City Hall,City Hall,20_to_24,0.0,2018
City Hall,City Hall,25_to_29,0.0,2018
City Hall,City Hall,30_to_34,0.0,2018
City Hall,City Hall,35_to_39,0.0,2018
City Hall,City Hall,40_to_44,0.0,2018
City Hall,City Hall,45_to_49,0.0,2018
City Hall,City Hall,50_to_54,0.0,2018
City Hall,City Hall,55_to_59,0.0,2018
City Hall,City Hall,60_to_64,0.0,2018
City Hall,City Hall,65_to_69,0.0,2018
City Hall,City Hall,70_to_74,0.0,2018
City Hall,City Hall,75_to_79,0.0,2018
City Hall,City Hall,80_to_84,0.0,2018
City Hall,City Hall,85_and_over,0.0,2018
Clifford Pier,Clifford Pier,0_to_4,0.0,2018
Clifford Pier,Clifford Pier,5_to_9,0.0,2018
Clifford Pier,Clifford Pier,10_to_14,0.0,2018
Clifford Pier,Clifford Pier,15_to_19,0.0,2018
Clifford Pier,Clifford Pier,20_to_24,0.0,2018
Clifford Pier,Clifford Pier,25_to_29,0.0,2018
Clifford Pier,Clifford Pier,30_to_34,0.0,2018
Clifford Pier,Clifford Pier,35_to_39,0.0,2018
Clifford Pier,Clifford Pier,40_to_44,0.0,2018
Clifford Pier,Clifford Pier,45_to_49,0.0,2018
Clifford Pier,Clifford Pier,50_to_54,0.0,2018
Clifford Pier,Clifford Pier,55_to_59,0.0,2018
Clifford Pier,Clifford Pier,60_to_64,0.0,2018
Clifford Pier,Clifford Pier,65_to_69,0.0,2018
Clifford Pier,Clifford Pier,70_to_74,0.0,2018
Clifford Pier,Clifford Pier,75_to_79,0.0,2018
Clifford Pier,Clifford Pier,80_to_84,0.0,2018
Clifford Pier,Clifford Pier,85_and_over,0.0,2018
Marina Centre,Marina Centre,0_to_4,0.0,2018
Marina Centre,Marina Centre,5_to_9,0.0,2018
Marina Centre,Marina Centre,10_to_14,0.0,2018
Marina Centre,Marina Centre,15_to_19,0.0,2018
Marina Centre,Marina Centre,20_to_24,0.0,2018
Marina Centre,Marina Centre,25_to_29,0.0,2018
